"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8830","2018-04-05","16:39:29","Hora est. Pacífico, Sudamérica","#DebateCaribe  yo tengo un amigo que tiene un tío con un primo costeño que me enseñó a amar la costa. ¿Qué más pa ve?","2","42","106","#DebateCaribe"
"8831","2018-04-05","16:39:28","Hora est. Pacífico, Sudamérica","@German_Vargas tiene la gallardía de replantear su postura ante la paz, porque atiende que el país necesita un presidente dispuesto a dejar a un lado los intereses personales para luchar por los intereses de todos los colombianos. #VargasLlerasEsCaribe #DebateCaribe  pic.twitter.com/EBQkVpFR3N","1","1","4","#VargasLlerasEsCaribe,#DebateCaribe"
"8832","2018-04-05","16:39:28","Hora est. Pacífico, Sudamérica","¿Duque no se va a cantar un vallenatico? #DebateCaribe","0","0","3","#DebateCaribe"
"8833","2018-04-05","16:39:28","Hora est. Pacífico, Sudamérica","#DebateCaribe Nótese como se le transforma el rostro a @IvanDuque estando y hablando solo: inseguro, sudoroso y ofensivo: desfigurado. Nótese ahora como se ve radiante cuando el que tiene el micrófono es su jefe uribe (que me tiene bloqueado de twitter)","0","0","3","#DebateCaribe"
"8834","2018-04-05","16:39:27","Hora est. Pacífico, Sudamérica","Duque abucheado, Fajardo es un tibio que pasa sin pena ni gloria en el debate, Vargas Lleras tiene buenas propuestas pero es un corrupto, Petro y De La Calle ganadores del debate #DebateCaribe","0","4","19","#DebateCaribe"
"8835","2018-04-05","16:39:27","Hora est. Pacífico, Sudamérica","""Voten por mi porque mi abuela es Cartagenera"" @IvanDuque #DebateCaribe","0","0","1","#DebateCaribe"
"8836","2018-04-05","16:39:27","Hora est. Pacífico, Sudamérica","Estoy segurísima que por Duque no es mi voto. #DebateCaribe","1","2","12","#DebateCaribe"
"8837","2018-04-05","16:39:27","Hora est. Pacífico, Sudamérica","La pregunta es quien gano el #DebateCaribe tampoco todos los puede ganar @petrogustavo","2","0","0","#DebateCaribe"
"8838","2018-04-05","16:39:26","Hora est. Pacífico, Sudamérica","#debatecaribe el único que ha demostrado que ha hecho mucho por la Costa es #vargaslleraspresidente","0","0","1","#debatecaribe,#vargaslleraspresidente"
"8839","2018-04-05","16:39:26","Hora est. Pacífico, Sudamérica","Estas #EleccionesColombia2018 son con diferencia, las más estimulantes de los últimos años. Las redes, la ciudadanía forzando a los candidatos a pulir sus propuestas más allá del discurso. Petro liderando.¿Qué hacer con un país en paz? la gran pregunta para todos#DebateCaribe","0","1","4","#EleccionesColombia2018,#DebateCaribe"
